delegateKey,shares,loot,kicked,jailed,tokenTribute,didRagequit,memberAddress,exists,createdAt
"0xc75446a6adaef73269dbdece73536977b2b639e0","850","0","false","","0","false","0xc75446a6adaef73269dbdece73536977b2b639e0","true","1633916208"
"0x97b9958facec9acb7adb2bb72a70172cb5a0ea7c","850","0","false","","0","false","0x97b9958facec9acb7adb2bb72a70172cb5a0ea7c","true","1633916208"
"0x2845537f49ae6d343af383360db06ef70dae49b7","708","424800","false","","424800000000","false","0x2845537f49ae6d343af383360db06ef70dae49b7","true","1634688689"
"0x3a8af31d3cfe775172853528167bb2b5760bf7b9","500","0","false","","0","false","0x3a8af31d3cfe775172853528167bb2b5760bf7b9","true","1633916208"
"0x97b5bcfea315d68f8007ca93bf6020a78dd26d49","283","170000","false","","0","false","0x97b5bcfea315d68f8007ca93bf6020a78dd26d49","true","1640719741"
"0x7ac712ec4c58ded138cc4e63e0fd59f697cc6963","125","75000","false","","15870261000000000000","false","0x7ac712ec4c58ded138cc4e63e0fd59f697cc6963","true","1637079876"
"0x6a55ae1b0bbbc7edbf346360ddc99b9224205f03","101","0","false","","0","false","0x6a55ae1b0bbbc7edbf346360ddc99b9224205f03","true","1633916208"
"0xe04885c3f1419c6e8495c33bdcf5f8387cd88846","76","0","false","","0","false","0xe04885c3f1419c6e8495c33bdcf5f8387cd88846","true","1633916208"
"0xdc97fe803a02ccad448aedb0a8d4b61aa137e489","76","0","false","","0","false","0xdc97fe803a02ccad448aedb0a8d4b61aa137e489","true","1633916208"
"0x4bb9e7d221fc35234a08ccdcb38d47d53fb1973e","65","0","false","","0","false","0x4bb9e7d221fc35234a08ccdcb38d47d53fb1973e","true","1633916208"
"0x464e44c254588dbde8fe92aa7223dec92ed55a5b","40","0","false","","0","false","0x464e44c254588dbde8fe92aa7223dec92ed55a5b","true","1633916208"
"0x28a63e5ea686713345e336905465d112c3d9d494","32","19200","false","","19200000000","false","0x28a63e5ea686713345e336905465d112c3d9d494","true","1634515589"
"0x7cd222530d4d10e175c939f55c5dc394d51aadaa","21","12600","false","","0","false","0x7cd222530d4d10e175c939f55c5dc394d51aadaa","true","1635217620"
"0xe6dc752f04414251d7b3474a7f9ff99e23647efb","16","0","false","","9600000000000000000000","false","0xe6dc752f04414251d7b3474a7f9ff99e23647efb","true","1636639745"
"0xe0b376e6282c327cbb7c2b2841d0b7b0595cad60","16","0","false","","9600000000","false","0xe0b376e6282c327cbb7c2b2841d0b7b0595cad60","true","1644861951"
"0x9f8d1c9c54a7dcbf242012f158b1594f17ef4211","16","9600","false","","9600000000","false","0x9f8d1c9c54a7dcbf242012f158b1594f17ef4211","true","1635484446"
"0x775af9b7c214fe8792ab5f5da61a8708591d517e","16","9600","false","","9600000000","false","0x775af9b7c214fe8792ab5f5da61a8708591d517e","true","1634502300"
"0x66b1de0f14a0ce971f7f248415063d44caf19398","16","9600","false","","9600000000","false","0x66b1de0f14a0ce971f7f248415063d44caf19398","true","1634672219"
"0x5832fc11416a4733ec424878736a2443f25e91e9","16","9600","false","","9600000000","false","0x5832fc11416a4733ec424878736a2443f25e91e9","true","1635217633"
"0x21799f09a5a73dd7364930cd5d726b8a87093f8c","16","9600","false","","9600000000","false","0x21799f09a5a73dd7364930cd5d726b8a87093f8c","true","1634318008"
